Season,Year_City,year,name,value
Summer,1924 Paris,1924-01-01,FRA,40
Winter,2014 Sochi,2014-01-01,ROU,0
Winter,1964 Innsbruck,1964-01-01,URS,24
Winter,1968 Grenoble,1968-01-01,URS,13
Summer,2012 London,2012-01-01,UGA,1
Summer,1996 Atlanta,1996-01-01,UGA,1
Summer,2000 Sydney,2000-01-01,UGA,0
Summer,2008 Beijing,2008-01-01,TUN,1
Summer,2012 London,2012-01-01,TUN,3
Summer,1956 Melbourne,1956-01-01,BEL,2
Summer,1960 Roma,1960-01-01,BEL,4
Summer,2012 London,2012-01-01,NED,20
Summer,1988 Seoul,1988-01-01,CMR,0
Summer,1956 Melbourne,1956-01-01,AUS,35
Summer,1964 Tokyo,1964-01-01,CIV,0
Summer,1988 Seoul,1988-01-01,UGA,0
Summer,1988 Seoul,1988-01-01,BRA,6
Summer,1924 Paris,1924-01-01,BEL,13
Summer,1976 Montreal,1976-01-01,NZL,4
Summer,1920 Antwerpen,1920-01-01,USA,95
Summer,2004 Athina,2004-01-01,GBR,30
Summer,1996 Atlanta,1996-01-01,GER,65
Winter,1998 Nagano,1998-01-01,GER,29
Winter,2006 Torino,2006-01-01,GER,29
Summer,1968 Mexico City,1968-01-01,NED,7
Summer,1932 Los Angeles,1932-01-01,BEL,1
Summer,2000 Sydney,2000-01-01,SLO,2
Summer,1992 Barcelona,1992-01-01,MEX,1
Summer,1972 Munich,1972-01-01,CUB,8
Summer,2016 Rio de Janeiro,2016-01-01,HON,0
Summer,1936 Berlin,1936-01-01,MEX,3
Summer,1960 Roma,1960-01-01,ARG,2
Summer,1964 Tokyo,1964-01-01,ARG,1
Summer,1936 Berlin,1936-01-01,CHI,0
Summer,2008 Beijing,2008-01-01,ARG,6
Summer,1984 Los Angeles,1984-01-01,ECU,0
Summer,2008 Beijing,2008-01-01,MEX,3
Summer,2012 London,2012-01-01,MEX,7
Summer,2016 Rio de Janeiro,2016-01-01,ESA,0
Summer,2016 Rio de Janeiro,2016-01-01,VEN,3
Summer,1952 Helsinki,1952-01-01,ARG,5
Summer,2008 Beijing,2008-01-01,CUB,24
Summer,1980 Moskva,1980-01-01,VEN,1
Summer,2016 Rio de Janeiro,2016-01-01,ARG,4
Summer,1952 Helsinki,1952-01-01,URU,2
Summer,1952 Helsinki,1952-01-01,GHA,0
Summer,1968 Mexico City,1968-01-01,GHA,0
Summer,1972 Munich,1972-01-01,GHA,1
Summer,1948 London,1948-01-01,DEN,22
Summer,1952 Helsinki,1952-01-01,DEN,6
Winter,1960 Squaw Valley,1960-01-01,AUS,0
Winter,2006 Torino,2006-01-01,CAN,24
Winter,2010 Vancouver,2010-01-01,CAN,26
Summer,2012 London,2012-01-01,VEN,1
Summer,1972 Munich,1972-01-01,URU,0
Summer,1948 London,1948-01-01,MEX,5
Summer,2016 Rio de Janeiro,2016-01-01,TKM,0
Summer,1924 Paris,1924-01-01,HUN,10
Winter,1932 Lake Placid,1932-01-01,JPN,0
Winter,1936 Garmisch-Partenkirchen,1936-01-01,JPN,0
Summer,2016 Rio de Janeiro,2016-01-01,JPN,41
Winter,2014 Sochi,2014-01-01,JPN,8
Summer,1984 Los Angeles,1984-01-01,NZL,11
Summer,2000 Sydney,2000-01-01,TUR,5
Summer,2008 Beijing,2008-01-01,MRI,1
Summer,1936 Berlin,1936-01-01,USA,57
Summer,1988 Seoul,1988-01-01,MEX,2
Summer,1992 Barcelona,1992-01-01,SEY,0
Summer,1976 Montreal,1976-01-01,TCH,8
Summer,1980 Moskva,1980-01-01,TCH,14
Summer,1908 London,1908-01-01,GER,13
Summer,1992 Barcelona,1992-01-01,GBR,20
Winter,2002 Salt Lake City,2002-01-01,GBR,2
Summer,1976 Montreal,1976-01-01,GDR,90
Summer,1912 Stockholm,1912-01-01,LUX,0
Summer,1936 Berlin,1936-01-01,GER,101
Summer,1912 Stockholm,1912-01-01,FRA,15
Summer,1948 London,1948-01-01,FRA,32
Summer,1912 Stockholm,1912-01-01,HUN,8
Summer,1984 Los Angeles,1984-01-01,KEN,3
Summer,1992 Barcelona,1992-01-01,KEN,8
Summer,2004 Athina,2004-01-01,GER,49
Summer,1996 Atlanta,1996-01-01,SUD,0
Summer,1988 Seoul,1988-01-01,MTN,0
Summer,1924 Paris,1924-01-01,POL,2
Summer,1992 Barcelona,1992-01-01,POL,19
Summer,1972 Munich,1972-01-01,POL,21
Summer,1976 Montreal,1976-01-01,POL,26
Summer,1948 London,1948-01-01,POL,2
Summer,1988 Seoul,1988-01-01,TCH,8
Summer,1992 Barcelona,1992-01-01,TCH,7
Summer,1960 Roma,1960-01-01,MEX,1
Winter,1992 Albertville,1992-01-01,TCH,3
Winter,1994 Lillehammer,1994-01-01,CZE,0
Winter,1998 Nagano,1998-01-01,CZE,3
Summer,1996 Atlanta,1996-01-01,GRE,8
Winter,1984 Sarajevo,1984-01-01,POL,0
Winter,1988 Calgary,1988-01-01,POL,0
Summer,2008 Beijing,2008-01-01,POL,10
Summer,2012 London,2012-01-01,POL,10
Summer,1992 Barcelona,1992-01-01,GER,82
Summer,1952 Helsinki,1952-01-01,HUN,42
Summer,1972 Munich,1972-01-01,IRI,3
Summer,2012 London,2012-01-01,NIG,0
Summer,1964 Tokyo,1964-01-01,BUL,10
Summer,1968 Mexico City,1968-01-01,BUL,9
Winter,1928 Sankt Moritz,1928-01-01,POL,0
Summer,2012 London,2012-01-01,SKN,0
Summer,2016 Rio de Janeiro,2016-01-01,SKN,0
Summer,1992 Barcelona,1992-01-01,AUS,27
Summer,1912 Stockholm,1912-01-01,USA,63
Summer,1952 Helsinki,1952-01-01,CAN,3
Winter,1948 Sankt Moritz,1948-01-01,GBR,2
Summer,2000 Sydney,2000-01-01,RSA,5
Summer,1908 London,1908-01-01,GBR,143
Summer,1976 Montreal,1976-01-01,TTO,1
Summer,1980 Moskva,1980-01-01,TTO,0
Summer,1984 Los Angeles,1984-01-01,DOM,1
Summer,1972 Munich,1972-01-01,CAN,5
Summer,1988 Seoul,1988-01-01,VIN,0
Summer,1936 Berlin,1936-01-01,CAN,9
Summer,1976 Montreal,1976-01-01,AUS,5
Summer,1984 Los Angeles,1984-01-01,GBR,37
Summer,1988 Seoul,1988-01-01,GBR,24
Summer,1988 Seoul,1988-01-01,PUR,0
Summer,2016 Rio de Janeiro,2016-01-01,GBR,67
Summer,1984 Los Angeles,1984-01-01,AUS,24
Summer,1988 Seoul,1988-01-01,AUS,14
Summer,1996 Atlanta,1996-01-01,AUS,41
Summer,1908 London,1908-01-01,USA,46
Summer,1928 Amsterdam,1928-01-01,CAN,15
Summer,1960 Roma,1960-01-01,CAN,1
Winter,2014 Sochi,2014-01-01,GBR,4
Summer,1968 Mexico City,1968-01-01,FRG,26
Summer,1972 Munich,1972-01-01,FRG,40
Summer,1992 Barcelona,1992-01-01,USA,108
Summer,1928 Amsterdam,1928-01-01,SWE,25
Summer,2004 Athina,2004-01-01,NZL,5
Summer,2008 Beijing,2008-01-01,NZL,9
Summer,2012 London,2012-01-01,NZL,13
Summer,2016 Rio de Janeiro,2016-01-01,NZL,18
Summer,1952 Helsinki,1952-01-01,POL,4
Summer,2012 London,2012-01-01,GER,44
Summer,1960 Roma,1960-01-01,POL,21
Summer,1980 Moskva,1980-01-01,SWE,12
Summer,1984 Los Angeles,1984-01-01,JAM,3
Summer,1988 Seoul,1988-01-01,JAM,2
Summer,2000 Sydney,2000-01-01,GHA,0
Summer,1988 Seoul,1988-01-01,PHI,1
Summer,1988 Seoul,1988-01-01,SOM,0
Summer,1996 Atlanta,1996-01-01,SOM,0
Summer,2016 Rio de Janeiro,2016-01-01,TUR,8
Summer,1948 London,1948-01-01,ESP,1
Summer,1936 Berlin,1936-01-01,TUR,2
Summer,2000 Sydney,2000-01-01,ALG,5
Summer,1928 Amsterdam,1928-01-01,BEL,3
Summer,1936 Berlin,1936-01-01,BEL,3
Summer,1948 London,1948-01-01,BEL,7
Summer,1992 Barcelona,1992-01-01,FRA,29
Summer,1960 Roma,1960-01-01,FRA,5
Summer,1992 Barcelona,1992-01-01,RSA,2
Summer,1960 Roma,1960-01-01,GBR,20
Summer,1920 Antwerpen,1920-01-01,SUI,11
Summer,1964 Tokyo,1964-01-01,GBR,18
Summer,1960 Roma,1960-01-01,GHA,1
Summer,2008 Beijing,2008-01-01,LBR,0
Summer,2012 London,2012-01-01,LBR,0
Summer,1984 Los Angeles,1984-01-01,GHA,0
Summer,1988 Seoul,1988-01-01,GHA,0
Winter,1988 Calgary,1988-01-01,GDR,25
Winter,1992 Albertville,1992-01-01,GER,26
Summer,1948 London,1948-01-01,GBR,27
Summer,1984 Los Angeles,1984-01-01,NGR,2
Summer,1996 Atlanta,1996-01-01,NGR,6
Summer,1992 Barcelona,1992-01-01,NGR,4
Summer,1996 Atlanta,1996-01-01,SUR,0
Summer,2000 Sydney,2000-01-01,SUR,0
Winter,1964 Innsbruck,1964-01-01,SWE,7
Summer,1956 Melbourne,1956-01-01,PHI,0
Summer,1980 Moskva,1980-01-01,NED,3
Summer,1928 Amsterdam,1928-01-01,FRA,25
Summer,1932 Los Angeles,1932-01-01,FRA,20
Winter,2014 Sochi,2014-01-01,FRA,15
Summer,2012 London,2012-01-01,ERI,0
Summer,2016 Rio de Janeiro,2016-01-01,ERI,0
Summer,2000 Sydney,2000-01-01,SOM,0
Summer,1984 Los Angeles,1984-01-01,SOM,0
Summer,2012 London,2012-01-01,BRA,17
Summer,1972 Munich,1972-01-01,CMR,0
Summer,1996 Atlanta,1996-01-01,ETH,3
Summer,2008 Beijing,2008-01-01,ETH,7
Summer,1952 Helsinki,1952-01-01,GER,24
Summer,2016 Rio de Janeiro,2016-01-01,UGA,0
Summer,1952 Helsinki,1952-01-01,BRA,3
Summer,1980 Moskva,1980-01-01,NGR,0
Summer,1964 Tokyo,1964-01-01,BRA,1
Winter,1976 Innsbruck,1976-01-01,USA,10
Winter,1980 Lake Placid,1980-01-01,USA,12
Summer,2008 Beijing,2008-01-01,NEP,0
Summer,1972 Munich,1972-01-01,UGA,2
Summer,2008 Beijing,2008-01-01,ARM,6
Summer,2000 Sydney,2000-01-01,LBA,0
Summer,1980 Moskva,1980-01-01,BRA,4
Summer,1936 Berlin,1936-01-01,URU,0
Summer,2000 Sydney,2000-01-01,FRA,38
Summer,2016 Rio de Janeiro,2016-01-01,MGL,2
Summer,1932 Los Angeles,1932-01-01,PHI,3
Summer,1936 Berlin,1936-01-01,PHI,1
Winter,2010 Vancouver,2010-01-01,GER,30
Summer,1952 Helsinki,1952-01-01,USA,76
Summer,1992 Barcelona,1992-01-01,BRA,3
Summer,1960 Roma,1960-01-01,GER,42
Summer,1912 Stockholm,1912-01-01,AUT,4
Summer,1924 Paris,1924-01-01,AUT,4
Summer,1964 Tokyo,1964-01-01,GER,50
Summer,1912 Stockholm,1912-01-01,RUS,5
Summer,1936 Berlin,1936-01-01,SWE,21
Summer,1908 London,1908-01-01,SWE,25
Summer,2012 London,2012-01-01,SWE,8
Summer,1924 Paris,1924-01-01,SWE,29
Summer,1960 Roma,1960-01-01,ETH,1
Summer,1924 Paris,1924-01-01,NED,11
Summer,1928 Amsterdam,1928-01-01,NED,23
Summer,1996 Atlanta,1996-01-01,SYR,1
Summer,1960 Roma,1960-01-01,MAR,1
Summer,1964 Tokyo,1964-01-01,MAR,0
Summer,1960 Roma,1960-01-01,UGA,0
Summer,1984 Los Angeles,1984-01-01,CIV,1
Summer,2000 Sydney,2000-01-01,PLW,0
Winter,1924 Chamonix,1924-01-01,TCH,0
Winter,1964 Innsbruck,1964-01-01,SUI,0
Summer,1948 London,1948-01-01,PHI,0
Summer,1992 Barcelona,1992-01-01,SWE,12
Winter,1980 Lake Placid,1980-01-01,SWE,4
Winter,1984 Sarajevo,1984-01-01,SWE,8
Winter,1976 Innsbruck,1976-01-01,SWE,2
Summer,2000 Sydney,2000-01-01,LTU,5
Summer,2004 Athina,2004-01-01,LTU,3
Summer,1984 Los Angeles,1984-01-01,SWE,19
Summer,2016 Rio de Janeiro,2016-01-01,LTU,4
Summer,1972 Munich,1972-01-01,HUN,35
Summer,1972 Munich,1972-01-01,PHI,0
Summer,1984 Los Angeles,1984-01-01,MON,0
Summer,1996 Atlanta,1996-01-01,PUR,1
Summer,1964 Tokyo,1964-01-01,PUR,0
Summer,1968 Mexico City,1968-01-01,PUR,0
Summer,1972 Munich,1972-01-01,TOG,0
Summer,1920 Antwerpen,1920-01-01,BEL,42
Summer,2016 Rio de Janeiro,2016-01-01,NAM,0
Summer,1984 Los Angeles,1984-01-01,INA,0
Summer,1988 Seoul,1988-01-01,INA,1
Summer,1996 Atlanta,1996-01-01,BRA,15
Summer,2000 Sydney,2000-01-01,BRA,12
Summer,1960 Roma,1960-01-01,AHO,0
Summer,1972 Munich,1972-01-01,AHO,0
Summer,2004 Athina,2004-01-01,NED,22
Summer,2008 Beijing,2008-01-01,NED,16
Summer,2008 Beijing,2008-01-01,BRA,16
Summer,1996 Atlanta,1996-01-01,HUN,21
Winter,1968 Grenoble,1968-01-01,ESP,0
Summer,1952 Helsinki,1952-01-01,CHI,2
Summer,1980 Moskva,1980-01-01,MGL,4
Summer,2004 Athina,2004-01-01,UKR,22
Summer,2008 Beijing,2008-01-01,UKR,27
Winter,2002 Salt Lake City,2002-01-01,KAZ,0
Summer,2016 Rio de Janeiro,2016-01-01,KGZ,0
Summer,1996 Atlanta,1996-01-01,UKR,23
Summer,2000 Sydney,2000-01-01,UKR,23
Summer,1984 Los Angeles,1984-01-01,ISL,1
Summer,2008 Beijing,2008-01-01,ASA,0
Summer,1948 London,1948-01-01,SUI,22
Summer,1936 Berlin,1936-01-01,SUI,18
Summer,1988 Seoul,1988-01-01,SUI,4
Winter,2006 Torino,2006-01-01,SUI,14
Summer,1972 Munich,1972-01-01,AUT,3
Summer,1912 Stockholm,1912-01-01,BEL,6
Summer,1976 Montreal,1976-01-01,SUI,4
Summer,2012 London,2012-01-01,BEL,3
Winter,2014 Sochi,2014-01-01,SUI,11
Winter,2014 Sochi,2014-01-01,BEL,0
Summer,2008 Beijing,2008-01-01,BEL,2
Summer,1992 Barcelona,1992-01-01,SUI,1
Summer,1972 Munich,1972-01-01,SUI,3
Winter,1972 Sapporo,1972-01-01,SUI,10
Summer,2016 Rio de Janeiro,2016-01-01,PUR,1
Summer,1996 Atlanta,1996-01-01,RUS,63
Summer,1968 Mexico City,1968-01-01,URS,91
Summer,1984 Los Angeles,1984-01-01,MAR,2
Summer,2012 London,2012-01-01,MAS,2
Summer,2016 Rio de Janeiro,2016-01-01,MAS,5
Summer,2004 Athina,2004-01-01,ETH,7
Summer,1936 Berlin,1936-01-01,AFG,0
Winter,1924 Chamonix,1924-01-01,SUI,3
Summer,1980 Moskva,1980-01-01,SUI,2
Summer,1988 Seoul,1988-01-01,IRI,1
Winter,2014 Sochi,2014-01-01,TOG,0
Summer,2000 Sydney,2000-01-01,IRI,4
Summer,2016 Rio de Janeiro,2016-01-01,SAM,0
Summer,2000 Sydney,2000-01-01,NGR,3
Summer,2016 Rio de Janeiro,2016-01-01,ANG,0
Summer,1976 Montreal,1976-01-01,ROU,27
Summer,2016 Rio de Janeiro,2016-01-01,RSA,10
Summer,2000 Sydney,2000-01-01,GRE,13
Summer,2008 Beijing,2008-01-01,GRE,4
Summer,2012 London,2012-01-01,GRE,2
Summer,2016 Rio de Janeiro,2016-01-01,GRE,6
Summer,1992 Barcelona,1992-01-01,IRI,3
Summer,1952 Helsinki,1952-01-01,IRI,7
Summer,1948 London,1948-01-01,AFG,0
Summer,1988 Seoul,1988-01-01,PAK,1
Winter,1964 Innsbruck,1964-01-01,IRI,0
Summer,2012 London,2012-01-01,ROU,9
Summer,1984 Los Angeles,1984-01-01,ROU,52
Winter,2014 Sochi,2014-01-01,TUR,0
Summer,2012 London,2012-01-01,RWA,0
Summer,2004 Athina,2004-01-01,ITA,32
Winter,2006 Torino,2006-01-01,UZB,0
Summer,1996 Atlanta,1996-01-01,CRO,2
Summer,2000 Sydney,2000-01-01,CRO,2
Summer,2000 Sydney,2000-01-01,DMA,0
Winter,1976 Innsbruck,1976-01-01,GBR,1
Summer,1996 Atlanta,1996-01-01,DMA,0
Summer,1968 Mexico City,1968-01-01,PAN,0
Summer,1980 Moskva,1980-01-01,SEY,0
Summer,1924 Paris,1924-01-01,EGY,0
Winter,1956 Cortina d'Ampezzo,1956-01-01,ITA,3
Summer,1972 Munich,1972-01-01,BEN,0
Summer,1992 Barcelona,1992-01-01,BEN,0
Summer,2012 London,2012-01-01,TOG,0
Summer,1980 Moskva,1980-01-01,FRA,14
Summer,1988 Seoul,1988-01-01,HAI,0
Summer,1996 Atlanta,1996-01-01,HAI,0
Summer,2000 Sydney,2000-01-01,DEN,6
Summer,2016 Rio de Janeiro,2016-01-01,NOR,4
Summer,1956 Melbourne,1956-01-01,URS,98
Summer,1960 Roma,1960-01-01,KEN,0
Summer,1964 Tokyo,1964-01-01,KEN,1
Winter,1960 Squaw Valley,1960-01-01,SWE,7
Summer,1908 London,1908-01-01,DEN,5
Summer,2004 Athina,2004-01-01,ALG,0
Summer,1972 Munich,1972-01-01,ROU,16
Summer,2004 Athina,2004-01-01,ARM,0
Summer,1964 Tokyo,1964-01-01,IRI,2
Summer,1980 Moskva,1980-01-01,MLT,0
Summer,1984 Los Angeles,1984-01-01,MLT,0
Summer,1988 Seoul,1988-01-01,MLT,0
Summer,2004 Athina,2004-01-01,MLT,0
Winter,1994 Lillehammer,1994-01-01,FRA,5
Winter,1952 Oslo,1952-01-01,FRA,1
Winter,1956 Cortina d'Ampezzo,1956-01-01,FRA,0
Summer,1948 London,1948-01-01,AUS,13
Summer,1952 Helsinki,1952-01-01,AUS,11
Summer,1964 Tokyo,1964-01-01,ITA,27
Summer,1984 Los Angeles,1984-01-01,LUX,0
Winter,2014 Sochi,2014-01-01,CAN,25
Summer,1952 Helsinki,1952-01-01,ITA,21
Summer,1948 London,1948-01-01,CUB,1
Summer,1956 Melbourne,1956-01-01,TTO,0
Winter,2006 Torino,2006-01-01,USA,25
Summer,2008 Beijing,2008-01-01,AUT,3
Summer,1964 Tokyo,1964-01-01,HUN,22
Summer,1928 Amsterdam,1928-01-01,ITA,20
Summer,1932 Los Angeles,1932-01-01,ITA,36
Winter,1964 Innsbruck,1964-01-01,ARG,0
Summer,1996 Atlanta,1996-01-01,TUN,1
Winter,2014 Sochi,2014-01-01,ITA,8
Summer,2008 Beijing,2008-01-01,SEY,0
Summer,1976 Montreal,1976-01-01,FRG,39
Summer,1984 Los Angeles,1984-01-01,FRG,59
Summer,1976 Montreal,1976-01-01,GRE,0
Summer,1984 Los Angeles,1984-01-01,PUR,2
Summer,1984 Los Angeles,1984-01-01,CYP,0
Summer,2008 Beijing,2008-01-01,DOM,2
Summer,1996 Atlanta,1996-01-01,BEN,0
Summer,1948 London,1948-01-01,ARG,7
Summer,1988 Seoul,1988-01-01,ARG,2
Summer,1952 Helsinki,1952-01-01,CUB,0
Summer,1988 Seoul,1988-01-01,TOG,0
Summer,2000 Sydney,2000-01-01,ANG,0
Summer,1960 Roma,1960-01-01,URU,0
Summer,1984 Los Angeles,1984-01-01,ARG,0
Summer,1980 Moskva,1980-01-01,GUI,0
Summer,1996 Atlanta,1996-01-01,CUB,25
Summer,1980 Moskva,1980-01-01,CRC,0
Summer,1964 Tokyo,1964-01-01,ESP,0
Summer,1984 Los Angeles,1984-01-01,PAN,0
Summer,1992 Barcelona,1992-01-01,PAN,0
Summer,2004 Athina,2004-01-01,CUB,27
Summer,1968 Mexico City,1968-01-01,CRC,0
Summer,1964 Tokyo,1964-01-01,MEX,1
Summer,1924 Paris,1924-01-01,MEX,0
Summer,1972 Munich,1972-01-01,MEX,1
Summer,1976 Montreal,1976-01-01,MEX,2
Summer,2004 Athina,2004-01-01,BIZ,0
Summer,1988 Seoul,1988-01-01,CRC,1
Summer,1988 Seoul,1988-01-01,CHI,1
Summer,2016 Rio de Janeiro,2016-01-01,CUB,11
Winter,2002 Salt Lake City,2002-01-01,TTO,0
Summer,1960 Roma,1960-01-01,CUB,0
Summer,2008 Beijing,2008-01-01,NCA,0
Summer,2004 Athina,2004-01-01,PUR,0
Winter,2006 Torino,2006-01-01,ARG,0
Summer,1928 Amsterdam,1928-01-01,MEX,0
Summer,1992 Barcelona,1992-01-01,ARG,1
Summer,1936 Berlin,1936-01-01,ARG,7
Summer,2008 Beijing,2008-01-01,PAR,0
Summer,2012 London,2012-01-01,PAR,0
Summer,2016 Rio de Janeiro,2016-01-01,PAR,0
Summer,1924 Paris,1924-01-01,ARG,6
Summer,1992 Barcelona,1992-01-01,NCA,0
Summer,1996 Atlanta,1996-01-01,NCA,0
Summer,2012 London,2012-01-01,URU,0
Summer,2016 Rio de Janeiro,2016-01-01,INA,3
Summer,1996 Atlanta,1996-01-01,KEN,8
Summer,1996 Atlanta,1996-01-01,GBR,15
Summer,1964 Tokyo,1964-01-01,AUS,18
Summer,2008 Beijing,2008-01-01,COM,0
Summer,2012 London,2012-01-01,COM,0
Summer,2004 Athina,2004-01-01,MAR,3
Summer,1980 Moskva,1980-01-01,CMR,0
Summer,1964 Tokyo,1964-01-01,NGR,1
Winter,1972 Sapporo,1972-01-01,USA,8
Summer,1948 London,1948-01-01,IRL,1
Winter,1984 Sarajevo,1984-01-01,USA,8
Summer,1992 Barcelona,1992-01-01,TOG,0
Summer,1968 Mexico City,1968-01-01,MAR,0
Summer,1948 London,1948-01-01,IND,1
Summer,1936 Berlin,1936-01-01,FIN,20
Summer,1932 Los Angeles,1932-01-01,FIN,25
Summer,1972 Munich,1972-01-01,DEN,1
Winter,1998 Nagano,1998-01-01,SWE,3
Winter,2002 Salt Lake City,2002-01-01,SWE,7
Winter,1924 Chamonix,1924-01-01,SWE,2
Summer,1968 Mexico City,1968-01-01,URU,0
Summer,1972 Munich,1972-01-01,NED,5
Summer,1928 Amsterdam,1928-01-01,FIN,25
Summer,1948 London,1948-01-01,USA,84
Summer,1906 Athina,1906-01-01,FIN,4
Summer,1928 Amsterdam,1928-01-01,DEN,9
Winter,1952 Oslo,1952-01-01,SWE,4
Summer,1932 Los Angeles,1932-01-01,SWE,24
Summer,1964 Tokyo,1964-01-01,NOR,0
Summer,1984 Los Angeles,1984-01-01,NOR,3
Summer,1956 Melbourne,1956-01-01,SWE,16
Summer,1980 Moskva,1980-01-01,IND,1
Summer,1984 Los Angeles,1984-01-01,QAT,0
Summer,1976 Montreal,1976-01-01,MAS,0
Summer,2012 London,2012-01-01,INA,2
Summer,1968 Mexico City,1968-01-01,PAK,1
Summer,2012 London,2012-01-01,MDV,0
Summer,1948 London,1948-01-01,IRQ,0
Summer,1956 Melbourne,1956-01-01,IND,1
Summer,1984 Los Angeles,1984-01-01,PAK,1
Summer,2000 Sydney,2000-01-01,IRQ,0
Summer,1996 Atlanta,1996-01-01,IRQ,0
Summer,1972 Munich,1972-01-01,PAK,1
Summer,2000 Sydney,2000-01-01,MDV,0
Summer,1988 Seoul,1988-01-01,YMD,0
Summer,2016 Rio de Janeiro,2016-01-01,BAN,0
Winter,1992 Albertville,1992-01-01,KOR,4
Winter,1994 Lillehammer,1994-01-01,KOR,6
Winter,1998 Nagano,1998-01-01,KOR,6
Winter,1984 Sarajevo,1984-01-01,FRG,4
Summer,1980 Moskva,1980-01-01,FIN,8
Summer,1960 Roma,1960-01-01,FIN,5
Summer,1968 Mexico City,1968-01-01,FIN,4
Winter,1976 Innsbruck,1976-01-01,FIN,7
Summer,1988 Seoul,1988-01-01,FIN,4
Summer,2004 Athina,2004-01-01,FIN,2
Winter,1998 Nagano,1998-01-01,FIN,12
Winter,2006 Torino,2006-01-01,FIN,9
Winter,2010 Vancouver,2010-01-01,FIN,5
Summer,1972 Munich,1972-01-01,FIN,8
Summer,1976 Montreal,1976-01-01,FIN,6
Summer,2012 London,2012-01-01,BEN,0
Summer,2012 London,2012-01-01,CIV,0
Summer,2016 Rio de Janeiro,2016-01-01,CIV,2
Summer,2008 Beijing,2008-01-01,NAM,0
Summer,2012 London,2012-01-01,NAM,0
Summer,1948 London,1948-01-01,PER,1
Summer,1956 Melbourne,1956-01-01,CHI,4
Winter,1956 Cortina d'Ampezzo,1956-01-01,SWE,10
Summer,1992 Barcelona,1992-01-01,LBA,0
Winter,2006 Torino,2006-01-01,IND,0
Summer,1948 London,1948-01-01,COL,0
Summer,1956 Melbourne,1956-01-01,MEX,2
Summer,2012 London,2012-01-01,EST,2
Summer,2012 London,2012-01-01,TTO,4
Summer,2016 Rio de Janeiro,2016-01-01,TTO,1
Summer,2004 Athina,2004-01-01,CHN,63
Summer,2016 Rio de Janeiro,2016-01-01,CHN,70
Summer,1996 Atlanta,1996-01-01,ARG,3
Summer,2004 Athina,2004-01-01,ARG,6
Winter,1936 Garmisch-Partenkirchen,1936-01-01,SUI,3
Summer,1992 Barcelona,1992-01-01,MTN,0
Summer,1996 Atlanta,1996-01-01,MTN,0
Summer,2012 London,2012-01-01,LTU,5
Summer,1964 Tokyo,1964-01-01,AUT,0
Summer,1968 Mexico City,1968-01-01,AUT,4
Summer,1956 Melbourne,1956-01-01,JPN,17
Winter,1988 Calgary,1988-01-01,SWE,6
Summer,1964 Tokyo,1964-01-01,FRA,15
Summer,1956 Melbourne,1956-01-01,THA,0
Winter,2002 Salt Lake City,2002-01-01,FRA,11
Summer,1996 Atlanta,1996-01-01,RSA,5
Winter,2010 Vancouver,2010-01-01,GBR,1
Winter,1948 Sankt Moritz,1948-01-01,ITA,1
Summer,1932 Los Angeles,1932-01-01,GBR,17
Summer,2000 Sydney,2000-01-01,NZL,4
Summer,2016 Rio de Janeiro,2016-01-01,SGP,1
Summer,2016 Rio de Janeiro,2016-01-01,MAR,1
Winter,1984 Sarajevo,1984-01-01,MAR,0
Winter,1988 Calgary,1988-01-01,MAR,0
Winter,1992 Albertville,1992-01-01,MAR,0
Summer,2000 Sydney,2000-01-01,PER,0
Summer,2004 Athina,2004-01-01,BER,0
Summer,2008 Beijing,2008-01-01,BER,0
Summer,1908 London,1908-01-01,ANZ,5
Summer,2004 Athina,2004-01-01,KAZ,8
Summer,2012 London,2012-01-01,UKR,20
Winter,1980 Lake Placid,1980-01-01,JPN,1
Summer,1928 Amsterdam,1928-01-01,JPN,5
Summer,1952 Helsinki,1952-01-01,NGR,0
Summer,1956 Melbourne,1956-01-01,NGR,0
Summer,2004 Athina,2004-01-01,UGA,0
Summer,2016 Rio de Janeiro,2016-01-01,SWE,11
Summer,2000 Sydney,2000-01-01,SCG,3
Summer,1984 Los Angeles,1984-01-01,SYR,1
Summer,2000 Sydney,2000-01-01,HUN,17
Summer,2004 Athina,2004-01-01,HUN,17
Summer,1988 Seoul,1988-01-01,TUR,2
Summer,2000 Sydney,2000-01-01,CIV,0
Summer,1980 Moskva,1980-01-01,SLE,0
Winter,1960 Squaw Valley,1960-01-01,JPN,0
Summer,1924 Paris,1924-01-01,TUR,0
Summer,1956 Melbourne,1956-01-01,TUR,7
Summer,1960 Roma,1960-01-01,TUR,9
Summer,1964 Tokyo,1964-01-01,TUR,6
Summer,1972 Munich,1972-01-01,TUR,1
Summer,2012 London,2012-01-01,VIN,0
Summer,2012 London,2012-01-01,TUR,5
Summer,1976 Montreal,1976-01-01,TUR,0
Summer,1928 Amsterdam,1928-01-01,LTU,0
Summer,2004 Athina,2004-01-01,SAM,0
Summer,2008 Beijing,2008-01-01,SAM,0
Summer,1972 Munich,1972-01-01,AUS,17
Winter,1960 Squaw Valley,1960-01-01,USA,10
Winter,1964 Innsbruck,1964-01-01,USA,7
Summer,1968 Mexico City,1968-01-01,SWE,4
Winter,1964 Innsbruck,1964-01-01,CAN,3
Summer,1984 Los Angeles,1984-01-01,TUR,3
