"","Event","Sport","Season","Year_City","Year"
"1","Basketball Men's Basketball","Basketball","Summer","1992 Barcelona",1992
"2","Judo Men's Extra-Lightweight","Judo","Summer","2012 London",2012
"3","Football Men's Football","Football","Summer","1920 Antwerpen",1920
"4","Tug-Of-War Men's Tug-Of-War","Tug-Of-War","Summer","1900 Paris",1900
"5","Speed Skating Women's 500 metres","Speed Skating","Winter","1988 Calgary",1988
"6","Speed Skating Women's 1,000 metres","Speed Skating","Winter","1988 Calgary",1988
"7","Speed Skating Women's 500 metres","Speed Skating","Winter","1992 Albertville",1992
"8","Speed Skating Women's 1,000 metres","Speed Skating","Winter","1992 Albertville",1992
"9","Speed Skating Women's 500 metres","Speed Skating","Winter","1994 Lillehammer",1994
"10","Speed Skating Women's 1,000 metres","Speed Skating","Winter","1994 Lillehammer",1994
"11","Cross Country Skiing Men's 10 kilometres","Cross Country Skiing","Winter","1992 Albertville",1992
"12","Cross Country Skiing Men's 50 kilometres","Cross Country Skiing","Winter","1992 Albertville",1992
"13","Cross Country Skiing Men's 10/15 kilometres Pursuit","Cross Country Skiing","Winter","1992 Albertville",1992
"14","Cross Country Skiing Men's 4 x 10 kilometres Relay","Cross Country Skiing","Winter","1992 Albertville",1992
"15","Cross Country Skiing Men's 10 kilometres","Cross Country Skiing","Winter","1994 Lillehammer",1994
"16","Cross Country Skiing Men's 30 kilometres","Cross Country Skiing","Winter","1994 Lillehammer",1994
"17","Cross Country Skiing Men's 10/15 kilometres Pursuit","Cross Country Skiing","Winter","1994 Lillehammer",1994
"18","Cross Country Skiing Men's 4 x 10 kilometres Relay","Cross Country Skiing","Winter","1994 Lillehammer",1994
"19","Athletics Women's 100 metres","Athletics","Summer","1932 Los Angeles",1932
"20","Athletics Women's 4 x 100 metres Relay","Athletics","Summer","1932 Los Angeles",1932
"21","Ice Hockey Men's Ice Hockey","Ice Hockey","Winter","2002 Salt Lake City",2002
"22","Swimming Men's 400 metres Freestyle","Swimming","Summer","1952 Helsinki",1952
"23","Cross Country Skiing Men's 30 kilometres","Cross Country Skiing","Winter","1980 Lake Placid",1980
"24","Badminton Men's Singles","Badminton","Summer","2000 Sydney",2000
"25","Sailing Women's Windsurfer","Sailing","Summer","1996 Atlanta",1996
"26","Sailing Women's Windsurfer","Sailing","Summer","2000 Sydney",2000
"27","Biathlon Women's 7.5 kilometres Sprint","Biathlon","Winter","1994 Lillehammer",1994
"28","Swimming Men's 200 metres Breaststroke","Swimming","Summer","1912 Stockholm",1912
"29","Swimming Men's 400 metres Breaststroke","Swimming","Summer","1912 Stockholm",1912
"30","Swimming Men's 200 metres Breaststroke","Swimming","Summer","1920 Antwerpen",1920
"31","Swimming Men's 400 metres Breaststroke","Swimming","Summer","1920 Antwerpen",1920
"32","Swimming Men's 200 metres Breaststroke","Swimming","Summer","1924 Paris",1924
"33","Ice Hockey Men's Ice Hockey","Ice Hockey","Winter","2014 Sochi",2014
"34","Gymnastics Men's Individual All-Around","Gymnastics","Summer","1948 London",1948
"35","Gymnastics Men's Team All-Around","Gymnastics","Summer","1948 London",1948
"36","Gymnastics Men's Floor Exercise","Gymnastics","Summer","1948 London",1948
"37","Gymnastics Men's Horse Vault","Gymnastics","Summer","1948 London",1948
"38","Gymnastics Men's Parallel Bars","Gymnastics","Summer","1948 London",1948
"39","Gymnastics Men's Horizontal Bar","Gymnastics","Summer","1948 London",1948
"40","Gymnastics Men's Rings","Gymnastics","Summer","1948 London",1948
"41","Gymnastics Men's Pommelled Horse","Gymnastics","Summer","1948 London",1948
"42","Gymnastics Men's Individual All-Around","Gymnastics","Summer","1952 Helsinki",1952
"43","Gymnastics Men's Team All-Around","Gymnastics","Summer","1952 Helsinki",1952
"44","Gymnastics Men's Floor Exercise","Gymnastics","Summer","1952 Helsinki",1952
"45","Gymnastics Men's Horse Vault","Gymnastics","Summer","1952 Helsinki",1952
"46","Gymnastics Men's Parallel Bars","Gymnastics","Summer","1952 Helsinki",1952
"47","Gymnastics Men's Horizontal Bar","Gymnastics","Summer","1952 Helsinki",1952
"48","Gymnastics Men's Rings","Gymnastics","Summer","1952 Helsinki",1952
"49","Gymnastics Men's Pommelled Horse","Gymnastics","Summer","1952 Helsinki",1952
"50","Athletics Men's Shot Put","Athletics","Summer","2000 Sydney",2000
"51","Art Competitions Mixed Sculpturing, Unknown Event","Art Competitions","Summer","1948 London",1948
"52","Alpine Skiing Men's Downhill","Alpine Skiing","Winter","1992 Albertville",1992
"53","Alpine Skiing Men's Super G","Alpine Skiing","Winter","1992 Albertville",1992
"54","Alpine Skiing Men's Giant Slalom","Alpine Skiing","Winter","1992 Albertville",1992
"55","Alpine Skiing Men's Slalom","Alpine Skiing","Winter","1992 Albertville",1992
"56","Alpine Skiing Men's Downhill","Alpine Skiing","Winter","1994 Lillehammer",1994
"57","Alpine Skiing Men's Super G","Alpine Skiing","Winter","1994 Lillehammer",1994
"58","Alpine Skiing Men's Giant Slalom","Alpine Skiing","Winter","1994 Lillehammer",1994
"59","Alpine Skiing Men's Slalom","Alpine Skiing","Winter","1994 Lillehammer",1994
"60","Alpine Skiing Men's Combined","Alpine Skiing","Winter","1994 Lillehammer",1994
"61","Alpine Skiing Men's Downhill","Alpine Skiing","Winter","1998 Nagano",1998
"62","Alpine Skiing Men's Super G","Alpine Skiing","Winter","1998 Nagano",1998
"63","Alpine Skiing Men's Giant Slalom","Alpine Skiing","Winter","1998 Nagano",1998
"64","Alpine Skiing Men's Combined","Alpine Skiing","Winter","1998 Nagano",1998
"65","Alpine Skiing Men's Downhill","Alpine Skiing","Winter","2002 Salt Lake City",2002
"66","Alpine Skiing Men's Super G","Alpine Skiing","Winter","2002 Salt Lake City",2002
"67","Alpine Skiing Men's Giant Slalom","Alpine Skiing","Winter","2002 Salt Lake City",2002
"68","Alpine Skiing Men's Slalom","Alpine Skiing","Winter","2002 Salt Lake City",2002
"69","Alpine Skiing Men's Combined","Alpine Skiing","Winter","2002 Salt Lake City",2002
"70","Alpine Skiing Men's Downhill","Alpine Skiing","Winter","2006 Torino",2006
"71","Alpine Skiing Men's Super G","Alpine Skiing","Winter","2006 Torino",2006
"72","Handball Women's Handball","Handball","Summer","2008 Beijing",2008
"73","Weightlifting Women's Super-Heavyweight","Weightlifting","Summer","2016 Rio de Janeiro",2016
"74","Wrestling Men's Light-Heavyweight, Greco-Roman","Wrestling","Summer","2000 Sydney",2000
"75","Wrestling Men's Light-Heavyweight, Greco-Roman","Wrestling","Summer","2004 Athina",2004
"76","Speed Skating Men's 500 metres","Speed Skating","Winter","1960 Squaw Valley",1960
"77","Speed Skating Men's 1,500 metres","Speed Skating","Winter","1960 Squaw Valley",1960
"78","Speed Skating Men's 1,500 metres","Speed Skating","Winter","1964 Innsbruck",1964
"79","Gymnastics Men's Team All-Around, Free System","Gymnastics","Summer","1920 Antwerpen",1920
"80","Luge Women's Singles","Luge","Winter","1984 Sarajevo",1984
"81","Water Polo Men's Water Polo","Water Polo","Summer","1984 Los Angeles",1984
"82","Sailing Mixed Three Person Keelboat","Sailing","Summer","1968 Mexico City",1968
"83","Sailing Mixed Three Person Keelboat","Sailing","Summer","1972 Munich",1972
"84","Hockey Women's Hockey","Hockey","Summer","1988 Seoul",1988
"85","Rowing Men's Lightweight Double Sculls","Rowing","Summer","1996 Atlanta",1996
"86","Rowing Men's Lightweight Double Sculls","Rowing","Summer","2000 Sydney",2000
"87","Athletics Men's Pole Vault","Athletics","Summer","1936 Berlin",1936
"88","Athletics Men's High Jump","Athletics","Summer","1912 Stockholm",1912
"89","Sailing Men's Two Person Dinghy","Sailing","Summer","1992 Barcelona",1992
"90","Sailing Men's Two Person Dinghy","Sailing","Summer","1996 Atlanta",1996
"91","Athletics Men's 1,500 metres","Athletics","Summer","2012 London",2012
"92","Bobsleigh Men's Four","Bobsleigh","Winter","1998 Nagano",1998
"93","Swimming Men's 100 metres Butterfly","Swimming","Summer","1996 Atlanta",1996
"94","Swimming Men's 200 metres Butterfly","Swimming","Summer","1996 Atlanta",1996
"95","Swimming Men's 4 x 100 metres Medley Relay","Swimming","Summer","1996 Atlanta",1996
"96","Swimming Men's 100 metres Butterfly","Swimming","Summer","2000 Sydney",2000
"97","Swimming Men's 200 metres Butterfly","Swimming","Summer","2000 Sydney",2000
"98","Football Women's Football","Football","Summer","1996 Atlanta",1996
"99","Fencing Men's Foil, Individual","Fencing","Summer","1912 Stockholm",1912
"100","Fencing Men's epee, Individual","Fencing","Summer","1912 Stockholm",1912
"101","Fencing Men's epee, Team","Fencing","Summer","1912 Stockholm",1912
"102","Speed Skating Men's 1,500 metres","Speed Skating","Winter","1952 Oslo",1952
"103","Speed Skating Men's 1,500 metres","Speed Skating","Winter","1956 Cortina d'Ampezzo",1956
"104","Speed Skating Men's 5,000 metres","Speed Skating","Winter","1956 Cortina d'Ampezzo",1956
"105","Speed Skating Men's 5,000 metres","Speed Skating","Winter","1960 Squaw Valley",1960
"106","Speed Skating Men's 10,000 metres","Speed Skating","Winter","1960 Squaw Valley",1960
"107","Sailing Mixed 8 metres","Sailing","Summer","1912 Stockholm",1912
"108","Equestrianism Mixed Jumping, Individual","Equestrianism","Summer","1992 Barcelona",1992
"109","Cross Country Skiing Men's 30 kilometres","Cross Country Skiing","Winter","1998 Nagano",1998
"110","Cross Country Skiing Men's 50 kilometres","Cross Country Skiing","Winter","1998 Nagano",1998
"111","Cross Country Skiing Men's 15 kilometres","Cross Country Skiing","Winter","2002 Salt Lake City",2002
"112","Cross Country Skiing Men's 50 kilometres","Cross Country Skiing","Winter","2002 Salt Lake City",2002
"113","Cross Country Skiing Men's 4 x 10 kilometres Relay","Cross Country Skiing","Winter","2002 Salt Lake City",2002
"114","Shooting Men's Small-Bore Rifle, Prone, 50 metres","Shooting","Summer","1936 Berlin",1936
"115","Shooting Men's Rapid-Fire Pistol, 25 metres","Shooting","Summer","1936 Berlin",1936
"116","Shooting Men's Rapid-Fire Pistol, 25 metres","Shooting","Summer","1948 London",1948
"117","Shooting Men's Trap","Shooting","Summer","1952 Helsinki",1952
"118","Shooting Men's Trap","Shooting","Summer","1956 Melbourne",1956
"119","Shooting Men's Trap","Shooting","Summer","1960 Roma",1960
"120","Athletics Men's 4 x 100 metres Relay","Athletics","Summer","1920 Antwerpen",1920
"121","Athletics Men's Long Jump","Athletics","Summer","1920 Antwerpen",1920
"122","Athletics Men's Long Jump","Athletics","Summer","1924 Paris",1924
"123","Athletics Men's Long Jump","Athletics","Summer","1928 Amsterdam",1928
"124","Boxing Men's Light-Welterweight","Boxing","Summer","2012 London",2012
"125","Athletics Women's Javelin Throw","Athletics","Summer","2004 Athina",2004
"126","Athletics Women's Javelin Throw","Athletics","Summer","2008 Beijing",2008
"127","Wrestling Men's Heavyweight, Freestyle","Wrestling","Summer","1992 Barcelona",1992
"128","Wrestling Men's Heavyweight, Freestyle","Wrestling","Summer","1996 Atlanta",1996
"129","Gymnastics Men's Individual All-Around","Gymnastics","Summer","2016 Rio de Janeiro",2016
"130","Gymnastics Men's Floor Exercise","Gymnastics","Summer","2016 Rio de Janeiro",2016
"131","Gymnastics Men's Parallel Bars","Gymnastics","Summer","2016 Rio de Janeiro",2016
"132","Gymnastics Men's Horizontal Bar","Gymnastics","Summer","2016 Rio de Janeiro",2016
"133","Gymnastics Men's Rings","Gymnastics","Summer","2016 Rio de Janeiro",2016
"134","Gymnastics Men's Pommelled Horse","Gymnastics","Summer","2016 Rio de Janeiro",2016
"135","Athletics Men's Pole Vault","Athletics","Summer","1976 Montreal",1976
"136","Taekwondo Men's Flyweight","Taekwondo","Summer","2000 Sydney",2000
"137","Boxing Men's Heavyweight","Boxing","Summer","1948 London",1948
"138","Athletics Men's 5,000 metres","Athletics","Summer","2016 Rio de Janeiro",2016
"139","Cycling Men's Road Race, Individual","Cycling","Summer","1956 Melbourne",1956
"140","Cycling Men's Road Race, Team","Cycling","Summer","1956 Melbourne",1956
"141","Boxing Men's Light-Welterweight","Boxing","Summer","1988 Seoul",1988
"142","Cycling Men's Road Race, Individual","Cycling","Summer","1924 Paris",1924
"143","Cycling Men's Road Race, Team","Cycling","Summer","1924 Paris",1924
"144","Weightlifting Men's Lightweight","Weightlifting","Summer","1956 Melbourne",1956
"145","Weightlifting Men's Middleweight","Weightlifting","Summer","1960 Roma",1960
"146","Football Men's Football","Football","Summer","1960 Roma",1960
"147","Rowing Men's Coxless Pairs","Rowing","Summer","2016 Rio de Janeiro",2016
"148","Fencing Men's epee, Individual","Fencing","Summer","2008 Beijing",2008
"149","Judo Men's Half-Middleweight","Judo","Summer","1992 Barcelona",1992
"150","Taekwondo Women's Flyweight","Taekwondo","Summer","2016 Rio de Janeiro",2016
"151","Boxing Men's Flyweight","Boxing","Summer","1972 Munich",1972
"152","Athletics Women's Javelin Throw","Athletics","Summer","2012 London",2012
"153","Swimming Men's 4 x 100 metres Medley Relay","Swimming","Summer","2000 Sydney",2000
"154","Basketball Women's Basketball","Basketball","Summer","2008 Beijing",2008
"155","Diving Men's Platform","Diving","Summer","2000 Sydney",2000
"156","Canoeing Men's Canadian Doubles, 500 metres","Canoeing","Summer","1992 Barcelona",1992
"157","Canoeing Men's Canadian Doubles, 1,000 metres","Canoeing","Summer","1992 Barcelona",1992
"158","Canoeing Men's Kayak Fours, 1,000 metres","Canoeing","Summer","2004 Athina",2004
"159","Canoeing Men's Kayak Fours, 1,000 metres","Canoeing","Summer","2008 Beijing",2008
"160","Handball Men's Handball","Handball","Summer","2008 Beijing",2008
"161","Handball Men's Handball","Handball","Summer","2012 London",2012
"162","Handball Men's Handball","Handball","Summer","2016 Rio de Janeiro",2016
"163","Rowing Women's Coxless Pairs","Rowing","Summer","2012 London",2012
"164","Fencing Men's epee, Individual","Fencing","Summer","2004 Athina",2004
"165","Football Men's Football","Football","Summer","2000 Sydney",2000
"166","Boxing Men's Middleweight","Boxing","Summer","1968 Mexico City",1968
"167","Judo Men's Lightweight","Judo","Summer","1996 Atlanta",1996
"168","Boxing Men's Featherweight","Boxing","Summer","1924 Paris",1924
"169","Water Polo Men's Water Polo","Water Polo","Summer","1996 Atlanta",1996
"170","Football Men's Football","Football","Summer","2004 Athina",2004
"171","Tennis Men's Doubles","Tennis","Summer","2000 Sydney",2000
"172","Shooting Mixed Skeet","Shooting","Summer","1992 Barcelona",1992
"173","Wrestling Men's Featherweight, Freestyle","Wrestling","Summer","2004 Athina",2004
"174","Sailing Mixed Two Person Heavyweight Dinghy","Sailing","Summer","1976 Montreal",1976
"175","Sailing Mixed Two Person Heavyweight Dinghy","Sailing","Summer","1980 Moskva",1980
"176","Sailing Mixed Two Person Heavyweight Dinghy","Sailing","Summer","1984 Los Angeles",1984
"177","Athletics Men's 1,500 metres","Athletics","Summer","1980 Moskva",1980
"178","Athletics Men's 1,500 metres","Athletics","Summer","1984 Los Angeles",1984
"179","Wrestling Men's Light-Heavyweight, Greco-Roman","Wrestling","Summer","1964 Tokyo",1964
"180","Athletics Women's Shot Put","Athletics","Summer","1980 Moskva",1980
"181","Rowing Men's Coxed Eights","Rowing","Summer","1984 Los Angeles",1984
"182","Cycling Women's Sprint","Cycling","Summer","2004 Athina",2004
"183","Cycling Women's 500 metres Time Trial","Cycling","Summer","2004 Athina",2004
"184","Athletics Men's 110 metres Hurdles","Athletics","Summer","2012 London",2012
"185","Football Men's Football","Football","Summer","2008 Beijing",2008
"186","Handball Men's Handball","Handball","Summer","2004 Athina",2004
"187","Shooting Mixed Trap","Shooting","Summer","1984 Los Angeles",1984
"188","Athletics Women's Marathon","Athletics","Summer","2004 Athina",2004
"189","Athletics Men's 100 metres","Athletics","Summer","2004 Athina",2004
"190","Athletics Men's High Jump","Athletics","Summer","1976 Montreal",1976
"191","Fencing Men's Foil, Individual","Fencing","Summer","1968 Mexico City",1968
"192","Fencing Men's Foil, Team","Fencing","Summer","1968 Mexico City",1968
"193","Fencing Men's Sabre, Team","Fencing","Summer","1968 Mexico City",1968
"194","Fencing Men's Sabre, Team","Fencing","Summer","1992 Barcelona",1992
"195","Swimming Men's 100 metres Freestyle","Swimming","Summer","1936 Berlin",1936
"196","Swimming Men's 4 x 200 metres Freestyle Relay","Swimming","Summer","1936 Berlin",1936
"197","Boxing Men's Lightweight","Boxing","Summer","1972 Munich",1972
"198","Football Men's Football","Football","Summer","1928 Amsterdam",1928
"199","Modern Pentathlon Men's Individual","Modern Pentathlon","Summer","1936 Berlin",1936
"200","Athletics Men's 100 metres","Athletics","Summer","1972 Munich",1972
"201","Boxing Men's Welterweight","Boxing","Summer","2012 London",2012
"202","Boxing Men's Middleweight","Boxing","Summer","2016 Rio de Janeiro",2016
"203","Rowing Men's Quadruple Sculls","Rowing","Summer","1988 Seoul",1988
"204","Rowing Men's Double Sculls","Rowing","Summer","1996 Atlanta",1996
"205","Rowing Men's Quadruple Sculls","Rowing","Summer","2000 Sydney",2000
"206","Rowing Men's Coxed Pairs","Rowing","Summer","1984 Los Angeles",1984
"207","Rowing Men's Coxed Pairs","Rowing","Summer","1988 Seoul",1988
"208","Rowing Men's Coxed Pairs","Rowing","Summer","1992 Barcelona",1992
"209","Rowing Men's Coxed Eights","Rowing","Summer","1996 Atlanta",1996
"210","Rowing Men's Coxed Pairs","Rowing","Summer","1980 Moskva",1980
"211","Athletics Men's 400 metres Hurdles","Athletics","Summer","1976 Montreal",1976
"212","Athletics Men's 4 x 100 metres Relay","Athletics","Summer","1976 Montreal",1976
"213","Athletics Men's 400 metres Hurdles","Athletics","Summer","1980 Moskva",1980
"214","Athletics Men's 400 metres","Athletics","Summer","2016 Rio de Janeiro",2016
"215","Athletics Men's Hammer Throw","Athletics","Summer","1996 Atlanta",1996
"216","Weightlifting Men's Lightweight","Weightlifting","Summer","1964 Tokyo",1964
"217","Athletics Men's Long Jump","Athletics","Summer","1980 Moskva",1980
"218","Athletics Men's 400 metres Hurdles","Athletics","Summer","1992 Barcelona",1992
"219","Weightlifting Men's Featherweight","Weightlifting","Summer","1960 Roma",1960
"220","Weightlifting Men's Featherweight","Weightlifting","Summer","1964 Tokyo",1964
"221","Athletics Men's 400 metres","Athletics","Summer","1988 Seoul",1988
"222","Athletics Men's 800 metres","Athletics","Summer","1988 Seoul",1988
"223","Cycling Men's Road Race, Individual","Cycling","Summer","2000 Sydney",2000
"224","Diving Men's Platform","Diving","Summer","1952 Helsinki",1952
"225","Swimming Men's 100 metres Freestyle","Swimming","Summer","2004 Athina",2004
"226","Alpine Skiing Men's Giant Slalom","Alpine Skiing","Winter","2010 Vancouver",2010
"227","Weightlifting Men's Middleweight","Weightlifting","Summer","2004 Athina",2004
"228","Hockey Men's Hockey","Hockey","Summer","2000 Sydney",2000
"229","Hockey Men's Hockey","Hockey","Summer","2004 Athina",2004
"230","Hockey Men's Hockey","Hockey","Summer","2012 London",2012
"231","Basketball Men's Basketball","Basketball","Summer","1952 Helsinki",1952
"232","Hockey Men's Hockey","Hockey","Summer","1984 Los Angeles",1984
"233","Alpine Skiing Women's Slalom","Alpine Skiing","Winter","2014 Sochi",2014
"234","Hockey Men's Hockey","Hockey","Summer","2008 Beijing",2008
"235","Rowing Women's Single Sculls","Rowing","Summer","2012 London",2012
"236","Athletics Men's 100 metres","Athletics","Summer","2008 Beijing",2008
"237","Swimming Men's 50 metres Freestyle","Swimming","Summer","2008 Beijing",2008
"238","Weightlifting Women's Featherweight","Weightlifting","Summer","2000 Sydney",2000
"239","Water Polo Women's Water Polo","Water Polo","Summer","2012 London",2012
"240","Gymnastics Men's Individual All-Around","Gymnastics","Summer","1900 Paris",1900
"241","Handball Women's Handball","Handball","Summer","2016 Rio de Janeiro",2016
"242","Basketball Men's Basketball","Basketball","Summer","2000 Sydney",2000
"243","Figure Skating Men's Singles","Figure Skating","Winter","1964 Innsbruck",1964
"244","Figure Skating Men's Singles","Figure Skating","Winter","1968 Grenoble",1968
"245","Weightlifting Men's Heavyweight","Weightlifting","Summer","2016 Rio de Janeiro",2016
"246","Football Men's Football","Football","Summer","1906 Athina",1906
"247","Sailing Mixed Three Person Keelboat","Sailing","Summer","1996 Atlanta",1996
"248","Sailing Mixed Three Person Keelboat","Sailing","Summer","2000 Sydney",2000
"249","Equestrianism Mixed Three-Day Event, Individual","Equestrianism","Summer","2016 Rio de Janeiro",2016
"250","Equestrianism Mixed Three-Day Event, Team","Equestrianism","Summer","2016 Rio de Janeiro",2016
"251","Athletics Men's 5,000 metres","Athletics","Summer","1928 Amsterdam",1928
"252","Figure Skating Men's Singles","Figure Skating","Winter","2010 Vancouver",2010
"253","Figure Skating Men's Singles","Figure Skating","Winter","2014 Sochi",2014
"254","Figure Skating Mixed Team","Figure Skating","Winter","2014 Sochi",2014
"255","Canoeing Men's Canadian Doubles, 1,000 metres","Canoeing","Summer","1976 Montreal",1976
"256","Sailing Women's Three Person Keelboat","Sailing","Summer","2008 Beijing",2008
"257","Cycling Women's Road Race, Individual","Cycling","Summer","2016 Rio de Janeiro",2016
"258","Golf Women's Individual","Golf","Summer","1900 Paris",1900
"259","Softball Women's Softball","Softball","Summer","2008 Beijing",2008
"260","Archery Women's Individual","Archery","Summer","2008 Beijing",2008
"261","Wrestling Men's Heavyweight, Greco-Roman","Wrestling","Summer","2012 London",2012
"262","Volleyball Men's Volleyball","Volleyball","Summer","2008 Beijing",2008
"263","Taekwondo Women's Heavyweight","Taekwondo","Summer","2008 Beijing",2008
"264","Synchronized Swimming Women's Duet","Synchronized Swimming","Summer","2008 Beijing",2008
"265","Synchronized Swimming Women's Team","Synchronized Swimming","Summer","2008 Beijing",2008
"266","Synchronized Swimming Women's Team","Synchronized Swimming","Summer","2012 London",2012
"267","Athletics Men's 5,000 metres","Athletics","Summer","2008 Beijing",2008
"268","Volleyball Men's Volleyball","Volleyball","Summer","2016 Rio de Janeiro",2016
"269","Handball Men's Handball","Handball","Summer","1992 Barcelona",1992
"270","Handball Men's Handball","Handball","Summer","1996 Atlanta",1996
"271","Gymnastics Men's Individual All-Around","Gymnastics","Summer","1960 Roma",1960
"272","Gymnastics Men's Team All-Around","Gymnastics","Summer","1960 Roma",1960
"273","Gymnastics Men's Floor Exercise","Gymnastics","Summer","1960 Roma",1960
"274","Gymnastics Men's Horse Vault","Gymnastics","Summer","1960 Roma",1960
"275","Gymnastics Men's Parallel Bars","Gymnastics","Summer","1960 Roma",1960
"276","Gymnastics Men's Horizontal Bar","Gymnastics","Summer","1960 Roma",1960
"277","Gymnastics Men's Rings","Gymnastics","Summer","1960 Roma",1960
"278","Gymnastics Men's Pommelled Horse","Gymnastics","Summer","1960 Roma",1960
"279","Fencing Men's Foil, Individual","Fencing","Summer","1992 Barcelona",1992
"280","Taekwondo Women's Featherweight","Taekwondo","Summer","2004 Athina",2004
"281","Athletics Men's Marathon","Athletics","Summer","1964 Tokyo",1964
"282","Athletics Men's 4 x 400 metres Relay","Athletics","Summer","1972 Munich",1972
"283","Athletics Men's 10,000 metres","Athletics","Summer","1952 Helsinki",1952
"284","Athletics Women's 3,000 metres","Athletics","Summer","1984 Los Angeles",1984
"285","Diving Women's Platform","Diving","Summer","2016 Rio de Janeiro",2016
"286","Volleyball Men's Volleyball","Volleyball","Summer","2000 Sydney",2000
"287","Shooting Men's Air Rifle, 10 metres","Shooting","Summer","2000 Sydney",2000
"288","Football Men's Football","Football","Summer","1972 Munich",1972
"289","Athletics Men's Marathon","Athletics","Summer","1952 Helsinki",1952
"290","Athletics Men's Long Jump","Athletics","Summer","1960 Roma",1960
"291","Boxing Men's Featherweight","Boxing","Summer","1960 Roma",1960
"292","Boxing Men's Lightweight","Boxing","Summer","1968 Mexico City",1968
"293","Athletics Men's 200 metres","Athletics","Summer","1972 Munich",1972
"294","Synchronized Swimming Women's Duet","Synchronized Swimming","Summer","2000 Sydney",2000
"295","Synchronized Swimming Women's Duet","Synchronized Swimming","Summer","2004 Athina",2004
"296","Hockey Men's Hockey","Hockey","Summer","1992 Barcelona",1992
"297","Rowing Men's Coxed Eights","Rowing","Summer","1960 Roma",1960
"298","Water Polo Men's Water Polo","Water Polo","Summer","2004 Athina",2004
"299","Fencing Men's Foil, Individual","Fencing","Summer","1948 London",1948
"300","Fencing Men's Foil, Team","Fencing","Summer","1948 London",1948
"301","Fencing Men's epee, Team","Fencing","Summer","1948 London",1948
"302","Fencing Men's Foil, Team","Fencing","Summer","1952 Helsinki",1952
"303","Fencing Men's epee, Team","Fencing","Summer","1952 Helsinki",1952
"304","Water Polo Men's Water Polo","Water Polo","Summer","1960 Roma",1960
"305","Weightlifting Men's Flyweight","Weightlifting","Summer","1976 Montreal",1976
"306","Volleyball Men's Volleyball","Volleyball","Summer","1984 Los Angeles",1984
"307","Boxing Men's Featherweight","Boxing","Summer","1968 Mexico City",1968
"308","Wrestling Men's Featherweight, Freestyle","Wrestling","Summer","1948 London",1948
"309","Football Men's Football","Football","Summer","1992 Barcelona",1992
"310","Basketball Men's Basketball","Basketball","Summer","1972 Munich",1972
"311","Water Polo Men's Water Polo","Water Polo","Summer","1948 London",1948
"312","Swimming Men's 100 metres Freestyle","Swimming","Summer","1948 London",1948
"313","Swimming Men's 100 metres Backstroke","Swimming","Summer","1948 London",1948
"314","Water Polo Men's Water Polo","Water Polo","Summer","1952 Helsinki",1952
"315","Swimming Men's 100 metres Freestyle","Swimming","Summer","1952 Helsinki",1952
"316","Athletics Men's 100 metres","Athletics","Summer","1960 Roma",1960
"317","Weightlifting Men's Light-Heavyweight","Weightlifting","Summer","1952 Helsinki",1952
"318","Weightlifting Men's Light-Heavyweight","Weightlifting","Summer","1960 Roma",1960
"319","Handball Men's Handball","Handball","Summer","1976 Montreal",1976
"320","Wrestling Men's Lightweight, Greco-Roman","Wrestling","Summer","1988 Seoul",1988
"321","Basketball Men's Basketball","Basketball","Summer","1984 Los Angeles",1984
"322","Basketball Men's Basketball","Basketball","Summer","1988 Seoul",1988
"323","Basketball Men's Basketball","Basketball","Summer","1976 Montreal",1976
"324","Athletics Men's 400 metres","Athletics","Summer","1996 Atlanta",1996
"325","Rowing Men's Coxed Eights","Rowing","Summer","1964 Tokyo",1964
"326","Water Polo Men's Water Polo","Water Polo","Summer","1964 Tokyo",1964
"327","Fencing Men's Sabre, Individual","Fencing","Summer","1936 Berlin",1936
"328","Fencing Men's epee, Individual","Fencing","Summer","1948 London",1948
"329","Fencing Men's epee, Individual","Fencing","Summer","1952 Helsinki",1952
"330","Fencing Men's Sabre, Individual","Fencing","Summer","1952 Helsinki",1952
"331","Fencing Men's Sabre, Team","Fencing","Summer","1952 Helsinki",1952
"332","Boxing Men's Welterweight","Boxing","Summer","1952 Helsinki",1952
"333","Fencing Men's Foil, Team","Fencing","Summer","1960 Roma",1960
"334","Fencing Men's Foil, Individual","Fencing","Summer","1964 Tokyo",1964
"335","Fencing Men's Foil, Team","Fencing","Summer","1964 Tokyo",1964
"336","Wrestling Men's Super-Heavyweight, Greco-Roman","Wrestling","Summer","2008 Beijing",2008
"337","Shooting Men's Free Pistol, 50 metres","Shooting","Summer","2008 Beijing",2008
"338","Shooting Men's Air Pistol, 10 metres","Shooting","Summer","2016 Rio de Janeiro",2016
"339","Shooting Men's Free Pistol, 50 metres","Shooting","Summer","2016 Rio de Janeiro",2016
"340","Fencing Men's epee, Team","Fencing","Summer","2004 Athina",2004
"341","Rowing Men's Coxless Fours","Rowing","Summer","2000 Sydney",2000
"342","Boxing Men's Light-Flyweight","Boxing","Summer","2000 Sydney",2000
"343","Boxing Men's Super-Heavyweight","Boxing","Summer","2000 Sydney",2000
"344","Boxing Men's Light-Flyweight","Boxing","Summer","1976 Montreal",1976
"345","Wrestling Men's Flyweight, Greco-Roman","Wrestling","Summer","1948 London",1948
"346","Shooting Women's Air Rifle, 10 metres","Shooting","Summer","2004 Athina",2004
